Profil,Parametr
Badanie przesiewowe papugi,Albuminy
Badanie podstawowe,Albuminy
Badanie podstawowe + fruktozamina,Albuminy
Badanie przesiewowe,Albuminy
Badanie przesiewowe duże,Albuminy
Geriatria podstawowa,Albuminy
Profil biochemiczny,Albuminy
Profil fretka,Albuminy
Profil kawia domowa królik,Albuminy
Profil nerkowy,Albuminy
Profil padaczkowy (kot),Albuminy
Profil padaczkowy (pies),Albuminy
Profil sercowy,Albuminy
Profil wątrobowy,Albuminy
Profil wątrobowy rozszerzony,Albuminy
Profil przedoperacyjny kontrol,ALP
Badanie podstawowe,ALP
Badanie podstawowe + fruktozamina,ALP
Badanie przesiewowe,ALP
Badanie przesiewowe duże,ALP
Badanie przesiewowe duże papugi,ALP
Gady - profil podstawowy,ALP
Gady - profil rozszerzony,ALP
Geriatria podstawowa,ALP
Polidypsja poliuria,ALP
Profil biochemiczny,ALP
Profil fretka,ALP
Profil jeż,ALP
Profil kawia domowa królik,ALP
Profil wątrobowy,ALP
Profil wątrobowy rozszerzony,ALP
Profil przedoperacyjny kontrol,ALT
Badanie podstawowe,ALT
Badanie podstawowe + fruktozamina,ALT
Badanie przesiewowe,ALT
Badanie przesiewowe duże,ALT
Badanie przesiewowe duże papugi,ALT
Gady - profil podstawowy,ALT
Gady - profil rozszerzony,ALT
Geriatria podstawowa,ALT
Polidypsja poliuria,ALT
Profil biochemiczny,ALT
Profil fretka,ALT
Profil jeż,ALT
Profil kawia domowa królik,ALT
Profil padaczkowy (kot),ALT
Profil padaczkowy (pies),ALT
Profil przedoperacyjny pełny,ALT
Profil przedoperacyjny podstawowy,ALT
Profil przedoperacyjny rozszerzony,ALT
Profil sercowy,ALT
Profil szczur,ALT
Profil trzustkowy,ALT
Profil wątrobowy,ALT
Profil wątrobowy rozszerzony,ALT
Badanie przesiewowe papugi,AST
Badanie podstawowe,AST
Badanie podstawowe + fruktozamina,AST
Badanie przesiewowe,AST
Badanie przesiewowe duże,AST
Badanie przesiewowe duże papugi,AST
Gady - profil podstawowy,AST
Gady - profil rozszerzony,AST
Geriatria podstawowa,AST
Profil biochemiczny,AST
Profil FIP,AST
Profil fretka,AST
Profil jeż,AST
Profil kawia domowa królik,AST
Profil przedoperacyjny pełny,AST
Profil przedoperacyjny podstawowy,AST
Profil przedoperacyjny rozszerzony,AST
Profil szczur,AST
Profil trzustkowy,AST
Profil wątrobowy,AST
Profil wątrobowy rozszerzony,AST
Badanie przesiewowe papugi,Białko całkowite
Badanie podstawowe,Białko całkowite
Badanie podstawowe + fruktozamina,Białko całkowite
Badanie przesiewowe,Białko całkowite
Badanie przesiewowe duże,Białko całkowite
Badanie przesiewowe duże papugi,Białko całkowite
Gady - profil podstawowy,Białko całkowite
Gady - profil rozszerzony,Białko całkowite
Geriatria podstawowa,Białko całkowite
Profil biochemiczny,Białko całkowite
Profil FIP,Białko całkowite
Profil fretka,Białko całkowite
Profil jeż,Białko całkowite
Profil kawia domowa królik,Białko całkowite
Profil nerkowy,Białko całkowite
Profil szczur,Białko całkowite
Profil wątrobowy,Białko całkowite
Profil wątrobowy rozszerzony,Białko całkowite
Profil biochemiczny,Bilirubina bezpośrednia
Profil wątrobowy,Bilirubina bezpośrednia
Profil wątrobowy rozszerzony,Bilirubina bezpośrednia
Badanie przesiewowe papugi,Bilirubina całkowita
Profil przedoperacyjny kontrol,Bilirubina całkowita
Badanie przesiewowe,Bilirubina całkowita
Badanie przesiewowe duże,Bilirubina całkowita
Geriatria podstawowa,Bilirubina całkowita
Profil biochemiczny,Bilirubina całkowita
Profil FIP,Bilirubina całkowita
Profil padaczkowy (kot),Bilirubina całkowita
Profil padaczkowy (pies),Bilirubina całkowita
Profil przedoperacyjny pełny,Bilirubina całkowita
Profil przedoperacyjny podstawowy,Bilirubina całkowita
Profil przedoperacyjny rozszerzony,Bilirubina całkowita
Profil sercowy,Bilirubina całkowita
Profil wątrobowy,Bilirubina całkowita
Profil wątrobowy rozszerzony,Bilirubina całkowita
Badanie przesiewowe,Chlorki
Badanie przesiewowe duże,Chlorki
Geriatria podstawowa,Chlorki
Jonogram,Chlorki
Jonogram rozszerzony,Chlorki
Profil biochemiczny,Chlorki
"Profil niedoborowy (pies; kot)",Chlorki
Profil przedoperacyjny pełny,Chlorki
Profil przedoperacyjny rozszerzony,Chlorki
Profil szczur,Chlorki
Badanie przesiewowe,Cholesterol
Badanie przesiewowe duże,Cholesterol
Badanie przesiewowe duże papugi,Cholesterol
Gady - profil rozszerzony,Cholesterol
Geriatria podstawowa,Cholesterol
Polidypsja poliuria,Cholesterol
Profil biochemiczny,Cholesterol
Profil trzustkowy,Cholesterol
Profil tarczycowy duży,Cholesterol
Badanie przesiewowe duże,CK
Badanie przesiewowe duże papugi,CK
Gady - profil podstawowy,CK
Gady - profil rozszerzony,CK
Geriatria podstawowa,CK
Profil biochemiczny,CK
Profil jeż,CK
Profil kawia domowa królik,CK
Profil szczur,CK
Profil padaczkowy (pies),cTSH
Profil sercowy,cTSH
"Profil tarczycowy (T4; cTSH)",cTSH
Profil tarczycowy duży,cTSH
Profil BARF,Fosfor nieorganiczny
Badanie przesiewowe,Fosfor nieorganiczny
Badanie przesiewowe duże,Fosfor nieorganiczny
Badanie przesiewowe duże papugi,Fosfor nieorganiczny
Gady - profil podstawowy,Fosfor nieorganiczny
Gady - profil rozszerzony,Fosfor nieorganiczny
Geriatria podstawowa,Fosfor nieorganiczny
Jonogram rozszerzony,Fosfor nieorganiczny
Polidypsja poliuria,Fosfor nieorganiczny
Profil biochemiczny,Fosfor nieorganiczny
Profil kawia domowa królik,Fosfor nieorganiczny
Profil nerkowy,Fosfor nieorganiczny
"Profil niedoborowy (pies; kot)",Fosfor nieorganiczny
Badanie podstawowe + fruktozamina,Fruktozamina
Badanie przesiewowe duże,Fruktozamina
Geriatria podstawowa,Fruktozamina
Polidypsja poliuria,Fruktozamina
Profil padaczkowy (kot),Fruktozamina
Badanie przesiewowe,GLDH
Badanie przesiewowe duże,GLDH
Badanie przesiewowe duże papugi,GLDH
Gady - profil podstawowy,GLDH
Gady - profil rozszerzony,GLDH
Geriatria podstawowa,GLDH
Profil biochemiczny,GLDH
Profil jeż,GLDH
Profil kawia domowa królik,GLDH
Profil szczur,GLDH
Profil wątrobowy,GLDH
Profil wątrobowy rozszerzony,GLDH
Badanie podstawowe,Glukoza
Badanie podstawowe + fruktozamina,Glukoza
Badanie przesiewowe,Glukoza
Badanie przesiewowe duże,Glukoza
Gady - profil rozszerzony,Glukoza
Geriatria podstawowa,Glukoza
Polidypsja poliuria,Glukoza
Profil biochemiczny,Glukoza
Profil jeż,Glukoza
Profil kawia domowa królik,Glukoza
Profil nerkowy,Glukoza
Profil padaczkowy (kot),Glukoza
Profil padaczkowy (pies),Glukoza
Profil przedoperacyjny pełny,Glukoza
Profil przedoperacyjny podstawowy,Glukoza
Profil przedoperacyjny rozszerzony,Glukoza
Profil sercowy,Glukoza
Profil szczur,Glukoza
Profil trzustkowy,Glukoza
Profil fretka,Kreatynia
Profil przedoperacyjny kontrol,Kreatynina
Badanie podstawowe,Kreatynina
Badanie podstawowe + fruktozamina,Kreatynina
Badanie przesiewowe,Kreatynina
Badanie przesiewowe duże,Kreatynina
Geriatria podstawowa,Kreatynina
Polidypsja poliuria,Kreatynina
Profil biochemiczny,Kreatynina
Profil jeż,Kreatynina
Profil kawia domowa królik,Kreatynina
Profil nerkowy,Kreatynina
Profil przedoperacyjny pełny,Kreatynina
Profil przedoperacyjny podstawowy,Kreatynina
Profil przedoperacyjny rozszerzony,Kreatynina
Profil szczur,Kreatynina
Wczesna diagnostyka niewydolności nerek,Kreatynina
Profil trzustkowojelitowy kot,Kwas foliowy
Profil trzustkowojelitowy pies,Kwas foliowy
Badanie przesiewowe papugi,Kwas moczowy
Badanie przesiewowe duże papugi,Kwas moczowy
Gady - profil podstawowy,Kwas moczowy
Gady - profil rozszerzony,Kwas moczowy
Badanie przesiewowe duże papugi,Kwasy żółciowe
Gady - profil rozszerzony,Kwasy żółciowe
Profil padaczkowy (kot),Kwasy żółciowe
Profil padaczkowy (pies),Kwasy żółciowe
Profil sercowy,Kwasy żółciowe
Badanie przesiewowe papugi,LDH
Badanie przesiewowe duże,LDH
Badanie przesiewowe duże papugi,LDH
Gady - profil podstawowy,LDH
Gady - profil rozszerzony,LDH
Geriatria podstawowa,LDH
Profil biochemiczny,LDH
Badanie przesiewowe duże,Lipaza (DGGR)
Geriatria podstawowa,Lipaza (DGGR)
Profil przedoperacyjny pełny,Lipaza (DGGR)
Profil przedoperacyjny rozszerzony,Lipaza (DGGR)
Profil trzustkowy,Lipaza (DGGR)
Badanie przesiewowe duże,Magnez
Geriatria podstawowa,Magnez
Jonogram rozszerzony,Magnez
Profil biochemiczny,Magnez
"Profil niedoborowy (pies; kot)",Magnez
Profil przedoperacyjny kontrol,Mocznik
Badanie podstawowe,Mocznik
Badanie podstawowe + fruktozamina,Mocznik
Badanie przesiewowe,Mocznik
Badanie przesiewowe duże,Mocznik
Gady - profil podstawowy,Mocznik
Gady - profil rozszerzony,Mocznik
Geriatria podstawowa,Mocznik
Polidypsja poliuria,Mocznik
Profil biochemiczny,Mocznik
Profil fretka,Mocznik
Profil jeż,Mocznik
Profil kawia domowa królik,Mocznik
Profil nerkowy,Mocznik
Profil padaczkowy (kot),Mocznik
Profil padaczkowy (pies),Mocznik
Profil przedoperacyjny pełny,Mocznik
Profil przedoperacyjny podstawowy,Mocznik
Profil przedoperacyjny rozszerzony,Mocznik
Profil sercowy,Mocznik
Profil szczur,Mocznik
Profil wątrobowy,Mocznik
Profil wątrobowy rozszerzony,Mocznik
Wczesna diagnostyka niewydolności nerek,Mocznik
Badanie przesiewowe,Potas
Badanie przesiewowe duże,Potas
Badanie przesiewowe duże papugi,Potas
Gady - profil podstawowy,Potas
Gady - profil rozszerzony,Potas
Geriatria podstawowa,Potas
Jonogram,Potas
Jonogram rozszerzony,Potas
Profil biochemiczny,Potas
Profil jeż,Potas
Profil nerkowy,Potas
"Profil niedoborowy (pies; kot)",Potas
Profil przedoperacyjny pełny,Potas
Profil przedoperacyjny rozszerzony,Potas
Profil szczur,Potas
Profil trzustkowy,Potas
Wczesna diagnostyka niewydolności nerek,SDMA
Badanie przesiewowe,Sód
Badanie przesiewowe duże,Sód
Badanie przesiewowe duże papugi,Sód
Gady - profil podstawowy,Sód
Gady - profil rozszerzony,Sód
Geriatria podstawowa,Sód
Jonogram,Sód
Jonogram rozszerzony,Sód
Profil biochemiczny,Sód
Profil jeż,Sód
Profil nerkowy,Sód
"Profil niedoborowy (pies; kot)",Sód
Profil przedoperacyjny pełny,Sód
Profil przedoperacyjny rozszerzony,Sód
Profil szczur,Sód
Profil trzustkowy,Sód
Profil BARF,T4 całkowita
Geriatria podstawowa,T4 całkowita
Polidypsja poliuria,T4 całkowita
Profil padaczkowy (kot),T4 całkowita
Profil padaczkowy (pies),T4 całkowita
Profil przedoperacyjny pełny,T4 całkowita
Profil sercowy,T4 całkowita
"Profil tarczycowy (T4; cTSH)",T4 całkowita
"Profil tarczycowy (T4; fT4)",T4 całkowita
Profil tarczycowy duży,T4 całkowita
"Profil tarczycowy (T4; fT4)",T4 wolna
Profil tarczycowy duży,T4 wolna
Profil trzustkowojelitowy pies,TLI
Badanie przesiewowe duże,Trójglicerydy
Badanie przesiewowe duże papugi,Trójglicerydy
Gady - profil rozszerzony,Trójglicerydy
Geriatria podstawowa,Trójglicerydy
Profil biochemiczny,Trójglicerydy
Badanie przesiewowe papugi,Wapń
Profil BARF,Wapń
Badanie przesiewowe,Wapń
Badanie przesiewowe duże,Wapń
Badanie przesiewowe duże papugi,Wapń
Gady - profil podstawowy,Wapń
Gady - profil rozszerzony,Wapń
Geriatria podstawowa,Wapń
Jonogram rozszerzony,Wapń
Polidypsja poliuria,Wapń
Profil biochemiczny,Wapń
Profil jeż,Wapń
Profil kawia domowa królik,Wapń
Profil nerkowy,Wapń
"Profil niedoborowy (pies; kot)",Wapń
Profil trzustkowy,Wapń
Profil trzustkowojelitowy kot,Witamina B12
Profil trzustkowojelitowy pies,Witamina B12
Badanie przesiewowe duże papugi,Żelazo
"Profil niedoborowy (pies; kot)",Żelazo
Badanie przesiewowe duże,α-amylaza
Badanie przesiewowe duże papugi,α-amylaza
Geriatria podstawowa,α-amylaza
Profil szczur,α-amylaza
Profil trzustkowy,α-amylaza
Badanie przesiewowe duże,γ-GT
Badanie przesiewowe duże papugi,γ-GT
Geriatria podstawowa,γ-GT
Profil biochemiczny,γ-GT
Profil kawia domowa królik,γ-GT
Profil padaczkowy (pies),γ-GT
Profil sercowy,γ-GT
Profil wątrobowy,γ-GT
Profil wątrobowy rozszerzony,γ-GT
